run_accession,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
SRR10012249,SAMN12620791,SAMN12620791,Vibrio cholerae,23 08 2019,USA,Vibrio cholerae,129834373;155184137,398569477,826645,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/049/SRR10012249/SRR10012249_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/049/SRR10012249/SRR10012249_2.fastq.gz']","130 MB, 155 MB files; 0.8 million reads; 398.6 million sequenced bases"
SRR10012251,SAMN12620792,SAMN12620792,Vibrio cholerae,23 08 2019,USA,Vibrio cholerae,108474034;130027468,309365925,703370,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/051/SRR10012251/SRR10012251_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/051/SRR10012251/SRR10012251_2.fastq.gz']","108 MB, 130 MB files; 0.7 million reads; 309.4 million sequenced bases"
SRR10038445,SAMN12661207,SAMN12661207,Vibrio cholerae,31 08 2019,USA,Vibrio cholerae,116780346;140437458,402895562,864508,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/045/SRR10038445/SRR10038445_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/045/SRR10038445/SRR10038445_2.fastq.gz']","117 MB, 140 MB files; 0.9 million reads; 402.9 million sequenced bases"
SRR10070456,SAMN12698197,SAMN12698197,Vibrio cholerae,6 09 2019,USA,Vibrio cholerae,100070021;110775576,291047872,738507,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/056/SRR10070456/SRR10070456_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/056/SRR10070456/SRR10070456_2.fastq.gz']","100 MB, 111 MB files; 0.7 million reads; 291.0 million sequenced bases"
SRR10072294,SAMN12699088,SAMN12699088,Vibrio cholerae,6 09 2019,USA,Vibrio cholerae,139206093;170671577,392287287,830656,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/094/SRR10072294/SRR10072294_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/094/SRR10072294/SRR10072294_2.fastq.gz']","139 MB, 171 MB files; 0.8 million reads; 392.3 million sequenced bases"
SRR10085731,SAMN12716003,SAMN12716003,Vibrio cholerae,10 09 2019,USA,Vibrio cholerae,119764006;143336505,351713921,737390,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/031/SRR10085731/SRR10085731_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/031/SRR10085731/SRR10085731_2.fastq.gz']","120 MB, 143 MB files; 0.7 million reads; 351.7 million sequenced bases"
SRR10092057,SAMN12721748,SAMN12721748,Vibrio cholerae,11 09 2019,USA,Vibrio cholerae,108166740;120744708,343682796,728019,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/057/SRR10092057/SRR10092057_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/057/SRR10092057/SRR10092057_2.fastq.gz']","108 MB, 121 MB files; 0.7 million reads; 343.7 million sequenced bases"
SRR10124053,SAMN12766992,SAMN12766992,Vibrio cholerae,17 09 2019,USA,Vibrio cholerae,133260619;148852344,399122741,836041,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/053/SRR10124053/SRR10124053_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/053/SRR10124053/SRR10124053_2.fastq.gz']","133 MB, 149 MB files; 0.8 million reads; 399.1 million sequenced bases"
SRR10125245,SAMN12767274,SAMN12767274,Vibrio cholerae,17 09 2019,USA,Vibrio cholerae,196961465;210367971,543589694,1152860,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/045/SRR10125245/SRR10125245_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/045/SRR10125245/SRR10125245_2.fastq.gz']","197 MB, 210 MB files; 1.2 million reads; 543.6 million sequenced bases"
SRR10152986,SAMN12797590,SAMN12797590,Vibrio cholerae,22 09 2019,USA,Vibrio cholerae,122711703;136590752,368656833,765111,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/086/SRR10152986/SRR10152986_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/086/SRR10152986/SRR10152986_2.fastq.gz']","123 MB, 137 MB files; 0.8 million reads; 368.7 million sequenced bases"
SRR10153030,SAMN12797600,SAMN12797600,Vibrio cholerae,22 09 2019,USA,Vibrio cholerae,116573590;127372592,359027076,744944,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/030/SRR10153030/SRR10153030_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/030/SRR10153030/SRR10153030_2.fastq.gz']","117 MB, 127 MB files; 0.7 million reads; 359.0 million sequenced bases"
SRR10189696,SAMN12857118,SAMN12857118,Vibrio cholerae,28 09 2019,USA,Vibrio cholerae,149949145;175456663,451929751,1011690,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/096/SRR10189696/SRR10189696_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/096/SRR10189696/SRR10189696_2.fastq.gz']","150 MB, 175 MB files; 1.0 million reads; 451.9 million sequenced bases"
SRR10257106,SAMN13008950,SAMN13008950,Vibrio cholerae,11 10 2019,USA,Vibrio cholerae,81640181;96439508,241699693,517148,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/006/SRR10257106/SRR10257106_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/006/SRR10257106/SRR10257106_2.fastq.gz']","82 MB, 96 MB files; 0.5 million reads; 241.7 million sequenced bases"
SRR10571589,SAMN13447556,SAMN13447556,Vibrio cholerae,6 12 2019,USA,Vibrio cholerae,169562340;185818438,475256045,1028151,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/089/SRR10571589/SRR10571589_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/089/SRR10571589/SRR10571589_2.fastq.gz']","170 MB, 186 MB files; 1.0 million reads; 475.3 million sequenced bases"
SRR10571590,SAMN13447561,SAMN13447561,Vibrio cholerae,6 12 2019,USA,Vibrio cholerae,82102023;91766802,226122878,477254,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/090/SRR10571590/SRR10571590_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/090/SRR10571590/SRR10571590_2.fastq.gz']","82 MB, 92 MB files; 0.5 million reads; 226.1 million sequenced bases"
SRR10852008,SAMN13763499,SAMN13763499,Vibrio cholerae,9 01 2020,USA,Vibrio cholerae,82113996;88974964,229875811,473762,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/008/SRR10852008/SRR10852008_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/008/SRR10852008/SRR10852008_2.fastq.gz']","82 MB, 89 MB files; 0.5 million reads; 229.9 million sequenced bases"
